"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","9/163","357/21676",0.00156565669676007,0.0479933995122223,0.0434200338980021,"AOX1C/AOX2/AOX1B/HCF244/AOX1A/NA/PGI/AOX1D/NA",9
"GO:0016458","GO:0016458","gene silencing","6/163","168/21676",0.00172862139489981,0.0480675103299288,0.043487082580732,"AtSAC3B/AGO1/AGO7/AGO5/RPT2a/HEN2",6
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","3/163","32/21676",0.00176415988704671,0.0480675103299288,0.043487082580732,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:1903008","GO:1903008","organelle disassembly","3/163","32/21676",0.00176415988704671,0.0480675103299288,0.043487082580732,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0009863","GO:0009863","salicylic acid mediated signaling pathway","4/163","70/21676",0.00192143315519322,0.0480675103299288,0.043487082580732,"ATWRKY38/AGD2/GRI/GLYI4",4
"GO:0035966","GO:0035966","response to topologically incorrect protein","4/163","70/21676",0.00192143315519322,0.0480675103299288,0.043487082580732,"ATCDC48/AtCDC48C/AtCDC48B/RPT2a",4
"GO:0006515","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","3/163","33/21676",0.00192993767949526,0.0480675103299288,0.043487082580732,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0009751","GO:0009751","response to salicylic acid","6/163","175/21676",0.00212348782139162,0.0499543853426692,0.0451941543415814,"ATWRKY38/AGD2/ATWRKY30/GRI/ATWRKY53/GLYI4",6
"GO:0009933","GO:0009933","meristem structural organization","4/163","72/21676",0.00213105282515778,0.0499543853426692,0.0451941543415814,"ATMYB37/TET1/RPT2a/AGO10",4
"GO:0034599","GO:0034599","cellular response to oxidative stress","4/163","76/21676",0.00259666806951668,0.0574873458723553,0.0520092873572785,"MSRA4/ATMSRA1/ATMSRA3/ATMSRA2",4
"GO:0071446","GO:0071446","cellular response to salicylic acid stimulus","4/163","76/21676",0.00259666806951668,0.0574873458723553,0.0520092873572785,"ATWRKY38/AGD2/GRI/GLYI4",4
"GO:0060968","GO:0060968","regulation of gene silencing","3/163","38/21676",0.00290323027817384,0.0625371495055284,0.0565778873555926,"AtSAC3B/RPT2a/HEN2",3
"GO:0031647","GO:0031647","regulation of protein stability","3/163","39/21676",0.00312796106511106,0.0656048676024609,0.0593532778282846,"ATCDC48/AtUBP13/AtUBP12",3
"GO:0048532","GO:0048532","anatomical structure arrangement","4/163","84/21676",0.00372849533808725,0.0761951483193727,0.0689343942399397,"ATMYB37/TET1/RPT2a/AGO10",4
"GO:0016236","GO:0016236","macroautophagy","3/163","43/21676",0.00413230669451053,0.0807025147977997,0.0730122467628513,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","2/163","13/21676",0.00415157227943512,0.0807025147977997,0.0730122467628513,"NA/NA",2
"GO:0010218","GO:0010218","response to far red light","3/163","45/21676",0.00469969311278338,0.0891822716878179,0.0806839544425217,"LAF3/AGO1/ABCI21",3
"GO:0009615","GO:0009615","response to virus","4/163","94/21676",0.00556205158942222,0.103004996959971,0.0931894907450047,"AGO1/AGO7/AGO5/AGO10",4
"GO:0098662","GO:0098662","inorganic cation transmembrane transport","6/163","214/21676",0.00568659958122802,0.103004996959971,0.0931894907450047,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/KUP10",6
"GO:0030433","GO:0030433","ubiquitin-dependent ERAD pathway","3/163","49/21676",0.00596995676523517,0.10573456759761,0.0956589563552302,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0007292","GO:0007292","female gamete generation","2/163","16/21676",0.00629328128535864,0.109037938791975,0.0986475441755302,"RPT2b/RPT2a",2
"GO:0098655","GO:0098655","cation transmembrane transport","6/163","224/21676",0.00706027541110649,0.119724244737274,0.10831553542235,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/KUP10",6
"GO:0071407","GO:0071407","cellular response to organic cyclic compound","5/163","167/21676",0.00868760768075528,0.144250485865874,0.130504632923626,"ATWRKY38/BSL1/AGD2/GRI/GLYI4",5
"GO:0098660","GO:0098660","inorganic ion transmembrane transport","6/163","239/21676",0.00955027309992958,0.151830388335778,0.137362234709117,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/KUP10",6
"GO:0007602","GO:0007602","phototransduction","2/163","20/21676",0.00977022937118303,0.151830388335778,0.137362234709117,"AFR/EID1",2
"GO:0009585","GO:0009585","red, far-red light phototransduction","2/163","20/21676",0.00977022937118303,0.151830388335778,0.137362234709117,"AFR/EID1",2
"GO:0014070","GO:0014070","response to organic cyclic compound","7/163","315/21676",0.00995701525326897,0.151830388335778,0.137362234709117,"ATWRKY38/BSL1/AGD2/ATWRKY30/GRI/ATWRKY53/GLYI4",7
"GO:0071396","GO:0071396","cellular response to lipid","9/163","476/21676",0.0100966255731446,0.151830388335778,0.137362234709117,"AtUBP13/BSL1/RGLG3/AIP2/AtUBP12/GRI/RGLG4/ATWRKY53/GLYI4",9
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","9/163","487/21676",0.0115935075401242,0.167405157228729,0.151452859673353,"ATNADP-ME1/ATNOA1/PGI/AAE15/LACS9/CYP94B1/CYP703/GRI/LACS8",9
"GO:0009583","GO:0009583","detection of light stimulus","2/163","22/21676",0.0117624702695217,0.167405157228729,0.151452859673353,"AFR/EID1",2
"GO:0009934","GO:0009934","regulation of meristem structural organization","2/163","22/21676",0.0117624702695217,0.167405157228729,0.151452859673353,"TET1/AGO10",2
"GO:0006465","GO:0006465","signal peptide processing","2/163","23/21676",0.0128196665149756,0.178036552491464,0.161071172761873,"NA/NA",2
"GO:0010608","GO:0010608","posttranscriptional regulation of gene expression","6/163","257/21676",0.0132985309287329,0.178036552491464,0.161071172761873,"AtSAC3B/AGO1/AGO7/ATPTB1/AGO5/HEN2",6
"GO:0007051","GO:0007051","spindle organization","3/163","66/21676",0.0135161954163979,0.178036552491464,0.161071172761873,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0036503","GO:0036503","ERAD pathway","3/163","66/21676",0.0135161954163979,0.178036552491464,0.161071172761873,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","2/163","24/21676",0.0139166990892311,0.178036552491464,0.161071172761873,"NA/NA",2
"GO:0062197","GO:0062197","cellular response to chemical stress","4/163","123/21676",0.0140165165124461,0.178036552491464,0.161071172761873,"MSRA4/ATMSRA1/ATMSRA3/ATMSRA2",4
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","3/163","67/21676",0.0140731528318221,0.178036552491464,0.161071172761873,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:2000762","GO:2000762","regulation of phenylpropanoid metabolic process","2/163","27/21676",0.0174403394513072,0.213579117699361,0.193226831703179,"KFB39/AtKFB50",2
"GO:0006914","GO:0006914","autophagy","3/163","73/21676",0.0176866019675757,0.213579117699361,0.193226831703179,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","3/163","73/21676",0.0176866019675757,0.213579117699361,0.193226831703179,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0006812","GO:0006812","cation transport","7/163","356/21676",0.018368378501804,0.218501457700564,0.197680114277073,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/ATGLR1.1/KUP10",7
"GO:0032984","GO:0032984","protein-containing complex disassembly","3/163","76/21676",0.019669125481371,0.227450957741592,0.205776802552982,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0009581","GO:0009581","detection of external stimulus","2/163","29/21676",0.0199768720726618,0.227450957741592,0.205776802552982,"AFR/EID1",2
"GO:0009582","GO:0009582","detection of abiotic stimulus","2/163","29/21676",0.0199768720726618,0.227450957741592,0.205776802552982,"AFR/EID1",2
"GO:0006979","GO:0006979","response to oxidative stress","8/163","451/21676",0.0210342553958954,0.236116923246883,0.213616974739635,"MSRA4/ATNOA1/ATMSRA1/ATWRKY30/GRI/ATMSRA3/ATMSRA2/ATWRKY53",8
"GO:0016311","GO:0016311","dephosphorylation","5/163","212/21676",0.0222337082010663,0.246114797725693,0.222662136224129,"ATSAL2/PP2CG1/ATB/ATB/BST1",5
"GO:0010305","GO:0010305","leaf vascular tissue pattern formation","2/163","31/21676",0.0226575675331434,0.247370977039935,0.223798612259599,"AGO1/TET1",2
"GO:0006090","GO:0006090","pyruvate metabolic process","3/163","82/21676",0.0239876240295115,0.255627498662784,0.231268357107584,"ATNADP-ME1/ATNOA1/PGI",3
"GO:0019220","GO:0019220","regulation of phosphate metabolic process","4/163","145/21676",0.0240552853195844,0.255627498662784,0.231268357107584,"CYC3/ATB/ATNOA1/CYCP2;1",4
"GO:0051174","GO:0051174","regulation of phosphorus metabolic process","4/163","146/21676",0.0245925151003876,0.257033427519296,0.232540312818751,"CYC3/ATB/ATNOA1/CYCP2;1",4
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","2/163","33/21676",0.0254775919372953,0.257033427519296,0.232540312818751,"AtMTR4/HEN2",2
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","2/163","33/21676",0.0254775919372953,0.257033427519296,0.232540312818751,"NA/NA",2
"GO:0046189","GO:0046189","phenol-containing compound biosynthetic process","2/163","33/21676",0.0254775919372953,0.257033427519296,0.232540312818751,"ATLAC15/GRI",2
"GO:0019827","GO:0019827","stem cell population maintenance","3/163","85/21676",0.0263236961534625,0.259012170793946,0.234330498572083,"RPT2b/RPT2a/AGO10",3
"GO:0098727","GO:0098727","maintenance of cell number","3/163","85/21676",0.0263236961534625,0.259012170793946,0.234330498572083,"RPT2b/RPT2a/AGO10",3
"GO:0035194","GO:0035194","post-transcriptional gene silencing by RNA","3/163","88/21676",0.0287773856843553,0.279569492101629,0.252928880789296,"AtSAC3B/AGO1/AGO7",3
"GO:0009834","GO:0009834","plant-type secondary cell wall biogenesis","3/163","89/21676",0.0296213504625189,0.279569492101629,0.252928880789296,"TBL33/AtFLA12/TBL32",3
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","3/163","89/21676",0.0296213504625189,0.279569492101629,0.252928880789296,"ATNADP-ME1/AGD2/DELTA-OAT",3
"GO:0010629","GO:0010629","negative regulation of gene expression","6/163","311/21676",0.0304721312043388,0.279569492101629,0.252928880789296,"AtSAC3B/AGO1/AGO7/AGO5/RPT2a/HEN2",6
"GO:1905392","GO:1905392","plant organ morphogenesis","8/163","485/21676",0.0306209846971982,0.279569492101629,0.252928880789296,"AGO1/BST1/HUB1/TET1/ATAIG1/RPT2b/RPT2a/HEN2",8
"GO:0009639","GO:0009639","response to red or far red light","5/163","231/21676",0.0306619328522329,0.279569492101629,0.252928880789296,"LAF3/AGO1/AFR/EID1/ABCI21",5
"GO:0051246","GO:0051246","regulation of protein metabolic process","7/163","400/21676",0.0319425890249892,0.279569492101629,0.252928880789296,"CYC3/ATB/ATNOA1/CYCP2;1/ATPTB1/AtCDC48B/ARI9",7
"GO:0006631","GO:0006631","fatty acid metabolic process","5/163","235/21676",0.0326600127291459,0.279569492101629,0.252928880789296,"AAE15/LACS9/CYP703/GRI/LACS8",5
"GO:0010243","GO:0010243","response to organonitrogen compound","4/163","160/21676",0.0328790328081879,0.279569492101629,0.252928880789296,"ATCDC48/AtCDC48C/ATGLR1.1/AtCDC48B",4
"GO:0019646","GO:0019646","aerobic electron transport chain","2/163","38/21676",0.0331064897051782,0.279569492101629,0.252928880789296,"NA/NA",2
"GO:0035195","GO:0035195","gene silencing by miRNA","2/163","38/21676",0.0331064897051782,0.279569492101629,0.252928880789296,"AGO1/AGO7",2
"GO:1903047","GO:1903047","mitotic cell cycle process","5/163","236/21676",0.0331719496335008,0.279569492101629,0.252928880789296,"ATCDC48/CYC3/HUB1/AtCDC48C/AtCDC48B",5
"GO:0034220","GO:0034220","ion transmembrane transport","6/163","318/21676",0.0334300575443287,0.279569492101629,0.252928880789296,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/KUP10",6
"GO:0000302","GO:0000302","response to reactive oxygen species","4/163","162/21676",0.0341806249249464,0.279569492101629,0.252928880789296,"ATNOA1/ATWRKY30/GRI/ATWRKY53",4
"GO:0048507","GO:0048507","meristem development","6/163","320/21676",0.03430822712248,0.279569492101629,0.252928880789296,"ATMYB37/TET1/SPL2/RPT2b/RPT2a/AGO10",6
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","2/163","39/21676",0.0347269507127494,0.279569492101629,0.252928880789296,"NA/NA",2
"GO:0045047","GO:0045047","protein targeting to ER","2/163","39/21676",0.0347269507127494,0.279569492101629,0.252928880789296,"NA/NA",2
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","2/163","39/21676",0.0347269507127494,0.279569492101629,0.252928880789296,"NA/NA",2
"GO:0010078","GO:0010078","maintenance of root meristem identity","2/163","40/21676",0.0363776803393215,0.287059517133062,0.259705169697084,"RPT2b/RPT2a",2
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","2/163","40/21676",0.0363776803393215,0.287059517133062,0.259705169697084,"NA/NA",2
"GO:0042742","GO:0042742","defense response to bacterium","7/163","416/21676",0.0382095071372608,0.298558599886243,0.270108486986828,"ATWRKY38/RGLG3/DELTA-OAT/GRI/RGLG4/ATPME44/ATWRKY53",7
"GO:2000022","GO:2000022","regulation of jasmonic acid mediated signaling pathway","2/163","42/21676",0.0397677887470863,0.307717743994444,0.278394842020992,"ATWRKY53/GLYI4",2
"GO:0006119","GO:0006119","oxidative phosphorylation","2/163","44/21676",0.0432725644676571,0.323016620148691,0.292235864494292,"NA/NA",2
"GO:0022904","GO:0022904","respiratory electron transport chain","2/163","44/21676",0.0432725644676571,0.323016620148691,0.292235864494292,"NA/NA",2
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","2/163","44/21676",0.0432725644676571,0.323016620148691,0.292235864494292,"NA/NA",2
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","4/163","175/21676",0.043366095804153,0.323016620148691,0.292235864494292,"ATCDC48/MAP65-7/AtCDC48C/AtCDC48B",4
"GO:0006006","GO:0006006","glucose metabolic process","2/163","45/21676",0.0450666515074187,0.329524048178098,0.298123189595189,"GAPB/PGI",2
"GO:0030422","GO:0030422","production of siRNA involved in RNA interference","2/163","45/21676",0.0450666515074187,0.329524048178098,0.298123189595189,"AtSAC3B/AGO7",2
"GO:0006498","GO:0006498","N-terminal protein lipidation","2/163","46/21676",0.0468878563370463,0.334507228663473,0.302631515068981,"RPT2b/RPT2a",2
"GO:0006499","GO:0006499","N-terminal protein myristoylation","2/163","46/21676",0.0468878563370463,0.334507228663473,0.302631515068981,"RPT2b/RPT2a",2
"GO:0071482","GO:0071482","cellular response to light stimulus","3/163","107/21676",0.0470072893479411,0.334507228663473,0.302631515068981,"AFR/EID1/ATMYB38",3
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","3/163","110/21676",0.050300330114577,0.353823329525924,0.320106954665863,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0018377","GO:0018377","protein myristoylation","2/163","48/21676",0.0506096104968072,0.353823329525924,0.320106954665863,"RPT2b/RPT2a",2
"GO:0022411","GO:0022411","cellular component disassembly","3/163","111/21676",0.0514224172226922,0.356379708925963,0.322419732700633,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0071478","GO:0071478","cellular response to radiation","3/163","114/21676",0.0548611119643854,0.376933674444958,0.341015078907477,"AFR/EID1/ATMYB38",3
"GO:0010027","GO:0010027","thylakoid membrane organization","2/163","51/21676",0.0563832248957124,0.384080600357973,0.347480963144966,"ATNOA1/PDE225",2
"GO:0009965","GO:0009965","leaf morphogenesis","3/163","118/21676",0.0596128272610161,0.395112761314988,0.357461852342029,"AGO1/HUB1/RPT2a",3
"GO:0009932","GO:0009932","cell tip growth","4/163","195/21676",0.0599495908591315,0.395112761314988,0.357461852342029,"ATCDC48/BST1/ATKT3/ATKT4",4
"GO:0040034","GO:0040034","regulation of development, heterochronic","2/163","53/21676",0.0603540201798655,0.395112761314988,0.357461852342029,"AGO7/SPL2",2
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","2/163","54/21676",0.0623745269252299,0.395112761314988,0.357461852342029,"CYC3/CYCP2;1",2
"GO:0006865","GO:0006865","amino acid transport","2/163","54/21676",0.0623745269252299,0.395112761314988,0.357461852342029,"AtLHT1/ATUCP2",2
"GO:0010017","GO:0010017","red or far-red light signaling pathway","2/163","54/21676",0.0623745269252299,0.395112761314988,0.357461852342029,"AFR/EID1",2
"GO:0016246","GO:0016246","RNA interference","2/163","54/21676",0.0623745269252299,0.395112761314988,0.357461852342029,"AtSAC3B/AGO7",2
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","2/163","54/21676",0.0623745269252299,0.395112761314988,0.357461852342029,"CYC3/CYCP2;1",2
"GO:0046034","GO:0046034","ATP metabolic process","3/163","122/21676",0.0645514710430714,0.395112761314988,0.357461852342029,"NA/PGI/NA",3
"GO:0009694","GO:0009694","jasmonic acid metabolic process","2/163","56/21676",0.0664834701206726,0.395112761314988,0.357461852342029,"CYP94B1/GRI",2
"GO:0048825","GO:0048825","cotyledon development","2/163","56/21676",0.0664834701206726,0.395112761314988,0.357461852342029,"ATKUP9/ATKT3",2
"GO:0071489","GO:0071489","cellular response to red or far red light","2/163","56/21676",0.0664834701206726,0.395112761314988,0.357461852342029,"AFR/EID1",2
"GO:0071322","GO:0071322","cellular response to carbohydrate stimulus","2/163","57/21676",0.0685710076149687,0.395112761314988,0.357461852342029,"RPT5B/ABCI21",2
"GO:0010016","GO:0010016","shoot system morphogenesis","4/163","205/21676",0.069339643016575,0.395112761314988,0.357461852342029,"AGO1/HUB1/ATMYB37/RPT2a",4
"GO:0031047","GO:0031047","gene silencing by RNA","3/163","126/21676",0.0696727766860908,0.395112761314988,0.357461852342029,"AtSAC3B/AGO1/AGO7",3
"GO:0000278","GO:0000278","mitotic cell cycle","5/163","292/21676",0.0699880947094429,0.395112761314988,0.357461852342029,"ATCDC48/CYC3/HUB1/AtCDC48C/AtCDC48B",5
"GO:0006167","GO:0006167","AMP biosynthetic process","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"ADSS",1
"GO:0006821","GO:0006821","chloride transport","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"ATCLC-E",1
"GO:0006998","GO:0006998","nuclear envelope organization","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"KAKU4",1
"GO:0009757","GO:0009757","hexose mediated signaling","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"RPT5B",1
"GO:0010586","GO:0010586","miRNA metabolic process","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"AGO10",1
"GO:0060969","GO:0060969","negative regulation of gene silencing","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"HEN2",1
"GO:0071324","GO:0071324","cellular response to disaccharide stimulus","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"ABCI21",1
"GO:1902183","GO:1902183","regulation of shoot apical meristem development","1/163","10/21676",0.072718670511751,0.395112761314988,0.357461852342029,"AGO10",1
"GO:0009668","GO:0009668","plastid membrane organization","2/163","59/21676",0.0728100074521983,0.395112761314988,0.357461852342029,"ATNOA1/PDE225",2
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","2/163","59/21676",0.0728100074521983,0.395112761314988,0.357461852342029,"CYC3/CYCP2;1",2
"GO:1905393","GO:1905393","plant organ formation","3/163","129/21676",0.0736309287944307,0.395112761314988,0.357461852342029,"ATMYB37/RPT2a/HEN2",3
"GO:0016485","GO:0016485","protein processing","2/163","60/21676",0.0749606029649585,0.395112761314988,0.357461852342029,"NA/NA",2
"GO:0071695","GO:0071695","anatomical structure maturation","4/163","212/21676",0.0763376165553718,0.395112761314988,0.357461852342029,"AtCLO1/BST1/HUB1/ATAIG1",4
"GO:0045491","GO:0045491","xylan metabolic process","2/163","61/21676",0.0771313597204505,0.395112761314988,0.357461852342029,"TBL33/TBL32",2
"GO:0048509","GO:0048509","regulation of meristem development","2/163","61/21676",0.0771313597204505,0.395112761314988,0.357461852342029,"SPL2/AGO10",2
"GO:0048609","GO:0048609","multicellular organismal reproductive process","4/163","213/21676",0.077365427464292,0.395112761314988,0.357461852342029,"AtCLO1/HUB1/RPT2b/RPT2a",4
"GO:0006470","GO:0006470","protein dephosphorylation","3/163","133/21676",0.0790609395233886,0.395112761314988,0.357461852342029,"PP2CG1/ATB/ATB",3
"GO:0031365","GO:0031365","N-terminal protein amino acid modification","2/163","62/21676",0.0793218573234823,0.395112761314988,0.357461852342029,"RPT2b/RPT2a",2
"GO:0051606","GO:0051606","detection of stimulus","2/163","62/21676",0.0793218573234823,0.395112761314988,0.357461852342029,"AFR/EID1",2
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","2/163","62/21676",0.0793218573234823,0.395112761314988,0.357461852342029,"NA/NA",2
"GO:0006771","GO:0006771","riboflavin metabolic process","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"PyrD",1
"GO:0009231","GO:0009231","riboflavin biosynthetic process","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"PyrD",1
"GO:0010158","GO:0010158","abaxial cell fate specification","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"YAB2",1
"GO:0019288","GO:0019288","isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"ATNOA1",1
"GO:0034389","GO:0034389","lipid droplet organization","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"AtCLO1",1
"GO:0042793","GO:0042793","plastid transcription","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"PDE225",1
"GO:0048317","GO:0048317","seed morphogenesis","1/163","11/21676",0.0796948939358523,0.395112761314988,0.357461852342029,"ANAC018",1
"GO:0009698","GO:0009698","phenylpropanoid metabolic process","3/163","136/21676",0.0832451534614989,0.395112761314988,0.357461852342029,"KFB39/ATLAC15/AtKFB50",3
"GO:1901698","GO:1901698","response to nitrogen compound","4/163","219/21676",0.0836776434461927,0.395112761314988,0.357461852342029,"ATCDC48/AtCDC48C/ATGLR1.1/AtCDC48B",4
